% Model,coupled_V18V_T001_a0_overetch025_thickness30_offset01.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 7 2023, 11:40"
% Table,Evaluation Group 1 - 
% dx,Time (s),es.Q0_1/es.V0_1 (F),"Displacement field, X-component (µm), Point: 293"
25,0,2.4139169639920415E-13,9.557639585363688E-29
25,1.0E-5,2.4139169834340135E-13,1.4708444897780714E-8
25,2.0E-5,2.413917656723813E-13,5.744390779111895E-7
25,3.0000000000000004E-5,2.413921807593038E-13,4.120014086530899E-6
25,3.9999999999999996E-5,2.413936836556045E-13,1.7118963592489635E-5
25,5.0E-5,2.413980554952466E-13,5.521975972526167E-5
25,6.000000000000001E-5,2.4140845383596436E-13,1.4627155903693028E-4
25,7.000000000000001E-5,2.414290024352815E-13,3.267713281837175E-4
25,8.0E-5,2.4146484588023356E-13,6.423127431858563E-4
25,9.0E-5,2.4152359861245115E-13,0.0011598913871028694
25,1.0E-4,2.4161177319522987E-13,0.0019370810159843811
25,1.1E-4,2.4173787593454766E-13,0.0030481947555171408
25,1.2000000000000002E-4,2.419085587026046E-13,0.004550723202525836
25,1.3000000000000002E-4,2.421296758821553E-13,0.0064941700877493205
25,1.4000000000000001E-4,2.4239751203939953E-13,0.008843165520222806
25,1.5000000000000001E-4,2.4271504808523144E-13,0.011620024755733616
25,1.6E-4,2.4308385217203473E-13,0.014833579011921685
25,1.7E-4,2.434819030749813E-13,0.018289956166103308
25,1.8E-4,2.4391305247982726E-13,0.022017625362156675
25,1.9E-4,2.4437304641086013E-13,0.02597549088660751
25,2.0E-4,2.44826024677236E-13,0.029855641046869788
25,2.1E-4,2.4526071428234937E-13,0.03356278313371213
25,2.2E-4,2.456689564506678E-13,0.03702941776906071
25,2.3E-4,2.460128047502601E-13,0.03993852540566652
25,2.4000000000000003E-4,2.4627800520334086E-13,0.04217689503755575
25,2.5E-4,2.4644899356585805E-13,0.04361950579856698
25,2.6000000000000003E-4,2.465163157884425E-13,0.04418892006776168
25,2.7E-4,2.464601033478517E-13,0.043723080560868176
25,2.8000000000000003E-4,2.4629586077147884E-13,0.04234833274142559
25,2.9E-4,2.460264070866303E-13,0.040082978490819474
25,3.0000000000000003E-4,2.4564805745246763E-13,0.03688997713882707
25,3.1E-4,2.4521004318418316E-13,0.03317593373833005
25,3.2E-4,2.4470921826682517E-13,0.028905350833253133
25,3.3000000000000005E-4,2.441734965315235E-13,0.024311243506195856
25,3.4E-4,2.4363558374380393E-13,0.019673879325101777
25,3.5000000000000005E-4,2.4311083847068235E-13,0.015111580385156758
25,3.6E-4,2.4261710087170117E-13,0.010807781455228552
25,3.7000000000000005E-4,2.421757380557966E-13,0.006942317453117812
25,3.8E-4,2.418082379070042E-13,0.003687735259698419
25,3.9000000000000005E-4,2.4151477476673964E-13,0.0010913510423374844
25,4.0E-4,2.4114896076544976E-13,-8.684923670922502E-4
25,4.1000000000000005E-4,2.411390820467135E-13,-0.002244934508787438
25,4.2E-4,2.4104145065755005E-13,-0.003114101010164604
25,4.3000000000000004E-4,2.40991704653167E-13,-0.0035574958912754553
25,4.4E-4,2.409807313895084E-13,-0.0036556390941471246
25,4.5000000000000004E-4,2.4100088593145663E-13,-0.00347662798238675
25,4.6E-4,2.41047372800148E-13,-0.00306359467402448
25,4.7000000000000004E-4,2.411166920975571E-13,-0.0024481118693154033
25,4.8000000000000007E-4,2.4120708642565493E-13,-0.00164635525427484
25,4.900000000000001E-4,2.4132150936233293E-13,-6.326043510521886E-4
25,5.0E-4,2.414631544765356E-13,6.212521851380998E-4
25,5.1E-4,2.41637468958293E-13,0.00216252950166123
25,5.200000000000001E-4,2.418488580278531E-13,0.004026550134387913
25,5.300000000000001E-4,2.4210183914688514E-13,0.0062507974323472125
25,5.4E-4,2.4239848279758433E-13,0.008851211771252828
25,5.5E-4,2.42734468071442E-13,0.011789237062057752
25,5.600000000000001E-4,2.43114611188844E-13,0.015101549599093258
25,5.700000000000001E-4,2.435319057537977E-13,0.0187229469989007
25,5.8E-4,2.439667252022474E-13,0.022480490819822355
25,5.9E-4,2.4442242905469494E-13,0.0263998768038853
25,6.000000000000001E-4,2.448798988615523E-13,0.03031572070020481
25,6.100000000000001E-4,2.4530784312696524E-13,0.03396327789046296
