% Model:              SimulationA.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 9 2023, 16:05
% Table:              Evaluation Group 1 - 
% Time (s)               es.Q0_2/es.V0_2 (F)      Displacement field, X-component (µm), Point: 293
0.00103                  NaN                      -8.517854902046347E-4
0.0010400000000000001    NaN                      -7.506359942229331E-4
0.0010500000000000002    NaN                      -6.494864982412316E-4
0.0010600000000000002    NaN                      -5.483370022595299E-4
0.00107                  NaN                      -4.4718750627783046E-4
0.00108                  NaN                      -3.5102888373706793E-4
0.00109                  NaN                      -3.2823994564713674E-4
0.0011                   NaN                      -3.054510075572056E-4
0.00111                  NaN                      -2.826620694672744E-4
0.0011200000000000001    NaN                      -2.598731313773433E-4
0.0011300000000000001    NaN                      -2.3708419328741202E-4
0.0011400000000000002    NaN                      -2.1429525519748088E-4
0.0011500000000000002    NaN                      -1.915063171075497E-4
0.00116                  NaN                      -1.6871737901761902E-4
0.00117                  NaN                      -1.4592844092768784E-4
0.00118                  NaN                      -1.2313950283775668E-4
0.00119                  NaN                      -1.0035056474782549E-4
0.0012000000000000001    NaN                      -7.756162665789432E-5
0.0012100000000000001    NaN                      -5.4772688567963135E-5
0.0012200000000000002    NaN                      -3.3869086029741914E-5
0.0012300000000000002    NaN                      -3.074041455514654E-5
0.00124                  NaN                      -2.7611743080551234E-5
0.00125                  NaN                      -2.4483071605955864E-5
0.00126                  NaN                      -2.1354400131360485E-5
0.00127                  NaN                      -1.8225728656765113E-5
0.00128                  NaN                      -1.5097057182169733E-5
0.0012900000000000001    NaN                      -1.1968385707574357E-5
0.0013000000000000002    NaN                      -8.839714232978981E-6
0.0013100000000000002    NaN                      -5.711042758383606E-6
0.0013200000000000002    NaN                      -2.5823712837882304E-6
0.00133                  NaN                      5.463001908070769E-7
0.00134                  NaN                      3.674971665402451E-6
0.00135                  NaN                      6.803643139997828E-6
0.00136                  NaN                      9.509554122494343E-6
0.0013700000000000001    NaN                      9.3379955726735E-6
0.0013800000000000002    NaN                      9.166437022852651E-6
0.0013900000000000002    NaN                      8.994878473031808E-6
0.0014000000000000002    NaN                      8.823319923210965E-6
0.00141                  NaN                      8.651761373390123E-6
0.00142                  NaN                      8.480202823569277E-6
0.00143                  NaN                      8.308644273748434E-6
0.00144                  NaN                      8.137085723927589E-6
0.0014500000000000001    NaN                      7.965527174106746E-6
0.0014600000000000001    NaN                      7.793968624285899E-6
