% Model,SimulationA.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 9 2023, 17:56"
% Table,Evaluation Group 1 - 
% Time (s),es.Q0_2/es.V0_2 (F),"Displacement field, X-component (µm), Point: 292"
3.5000000000000005E-4,2.2781807515592524E-13,0.0335470403918603
3.6E-4,2.273908652855117E-13,0.029257023972133873
3.7000000000000005E-4,2.2697490140034387E-13,0.025030813309785505
3.8E-4,2.2657982812080102E-13,0.02101221156298651
3.9000000000000005E-4,2.2621833743726526E-13,0.017308660999077047
4.0E-4,2.2601162539647078E-13,0.013980455265758135
4.1000000000000005E-4,2.2560783728251324E-13,0.011041697955413533
4.2E-4,2.2536099103658683E-13,0.00849175331478757
4.3000000000000004E-4,2.2515143190110082E-13,0.006321055160591442
4.4E-4,2.2497731880970603E-13,0.004513125393706973
4.5000000000000004E-4,2.2483681199819594E-13,0.0030510759394736173
4.6E-4,2.2472874580846185E-13,0.0019241745014928454
4.7000000000000004E-4,2.2465276805914118E-13,0.0011299598558885922
4.8000000000000007E-4,2.2460990519986156E-13,6.800498561874112E-4
4.900000000000001E-4,2.2460236995088505E-13,5.980498868932963E-4
5.0E-4,2.2463339994891374E-13,9.178906389100288E-4
5.1E-4,2.2470623787007687E-13,0.0016729954466171224
5.200000000000001E-4,2.2482512378122204E-13,0.0029061893782060173
5.300000000000001E-4,2.2499262017136875E-13,0.004642873309860773
5.4E-4,2.2521230436331058E-13,0.006916820049251946
5.5E-4,2.2548620174963296E-13,0.009744625172482367
5.600000000000001E-4,2.2580937823530357E-13,0.013071664309080324
5.700000000000001E-4,2.261818560105904E-13,0.016890869264576416
5.8E-4,2.2659467814013136E-13,0.021105563058615568
5.9E-4,2.2703712875430258E-13,0.02560166528097289
6.000000000000001E-4,2.274981746209051E-13,0.030262720827878304
6.100000000000001E-4,2.2796090329268203E-13,0.03491635541684551
6.2E-4,2.284068041859197E-13,0.0393789141361651
6.3E-4,2.2881856846949127E-13,0.043480624766786685
6.4E-4,2.2917967374293887E-13,0.047061732615084735
6.500000000000001E-4,2.2946623626169197E-13,0.04989759996290222
6.600000000000001E-4,2.2967579365738867E-13,0.05196511885399206
6.7E-4,2.297903957452117E-13,0.05309680332815298
6.8E-4,2.2980338996635575E-13,0.05323202069135771
6.900000000000001E-4,2.297222564193368E-13,0.05244231592955624
7.000000000000001E-4,2.295458835778109E-13,0.050711904509649026
7.1E-4,2.2928524255851156E-13,0.048144598374305195
7.2E-4,2.289559103129832E-13,0.044882278790272324
7.300000000000001E-4,2.285773929315078E-13,0.041099862598781525
7.400000000000001E-4,2.281626194835032E-13,0.03694301210428339
7.5E-4,2.277332306288388E-13,0.0326542811256189
7.6E-4,2.27303502268226E-13,0.028389117668690657
