% Model,coupled_V18V_T001_a0_overetch025_thickness30_offset01.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 7 2023, 05:13"
% Table,Evaluation Group 1 - 
% dx,Time (s),es.Q0_1/es.V0_1 (F),"Displacement field, X-component (µm), Point: 293"
5,7.9E-4,2.350512420897756E-13,0.017540460129994752
5,8.0E-4,2.3466393780567255E-13,0.013949723313493135
5,8.100000000000001E-4,-Inf,0.010897934159307976
5,8.200000000000001E-4,-Inf,0.008462398326131845
5,8.300000000000001E-4,-Inf,0.006327061678568742
5,8.4E-4,Inf,0.004692222808034521
5,8.500000000000001E-4,Inf,0.0032732417091496753
5,8.600000000000001E-4,Inf,0.002071237581047891
5,8.700000000000001E-4,-Inf,0.001078820208628646
5,8.8E-4,-Inf,2.561085786797302E-4
5,8.900000000000001E-4,-Inf,-3.975543074705303E-4
5,9.000000000000001E-4,-Inf,-9.012396121448611E-4
5,9.100000000000001E-4,-Inf,-0.0012454177421842901
5,9.2E-4,-Inf,-0.0014314103450810585
5,9.3E-4,-Inf,-0.001636795095081077
5,9.400000000000001E-4,-Inf,-0.0017725084178794378
5,9.500000000000001E-4,-Inf,-0.0018385503134761404
5,9.600000000000001E-4,-Inf,-0.0018349207818711855
5,9.7E-4,-Inf,-0.0017616198230645743
5,9.800000000000002E-4,Inf,-0.0016214880638047555
5,9.9E-4,Inf,-0.0015443662926679714
5,0.001,Inf,-0.001436104686551078
5,0.00101,Inf,-0.0012967032454540763
5,0.00102,Inf,-0.001126161969376966
5,0.00103,Inf,-9.244808583197476E-4
5,0.0010400000000000001,-Inf,-7.58683959255408E-4
5,0.0010500000000000002,-Inf,-6.283787795840489E-4
5,0.0010600000000000002,-Inf,-5.018201840889868E-4
5,0.00107,-Inf,-3.790081727702243E-4
5,0.00108,-Inf,-2.599427456277559E-4
5,0.00109,-Inf,-1.6802892605197875E-4
5,0.0011,-Inf,-1.4733970220089275E-4
5,0.00111,-Inf,-1.2665047834980672E-4
5,0.0011200000000000001,-Inf,-1.059612544987207E-4
5,0.0011300000000000001,-Inf,-8.527203064763466E-5
5,0.0011400000000000002,-Inf,-6.458280679654864E-5
5,0.0011500000000000002,-Inf,-4.3893582945462594E-5
5,0.00116,-Inf,-2.3204359094377003E-5
