% Model:              SimulationA.mph
% Version:            COMSOL 6.1.0.357
% Date:               Dec 8 2023, 16:29
% Table:              Evaluation Group 1 - 
% Time (s)               es.Q0_1/es.V0_1 (F)      Displacement field, X-component (µm), Point: 293
7.5E-4                   2.2373227020523783E-13   1.6443941881235363E-12
7.6E-4                   2.2373227004908227E-13   1.3733763526276116E-12
7.700000000000001E-4     2.2373226998644228E-13   1.1235246414734155E-12
7.800000000000001E-4     2.2373226995613078E-13   8.690244852988114E-13
7.9E-4                   2.2373226993740345E-13   6.148776804634167E-13
8.0E-4                   2.2373226993696204E-13   4.585467259369137E-13
8.100000000000001E-4     NaN                      4.1097623720820657E-13
8.200000000000001E-4     NaN                      3.5569686775682614E-13
8.300000000000001E-4     NaN                      2.9213961266185824E-13
8.4E-4                   NaN                      2.272852513468478E-13
8.500000000000001E-4     NaN                      1.6243089003183666E-13
8.600000000000001E-4     NaN                      1.2850868508546974E-13
8.700000000000001E-4     NaN                      1.0141673825939382E-13
8.8E-4                   NaN                      7.432479143331819E-14
8.900000000000001E-4     NaN                      4.723284460724227E-14
9.000000000000001E-4     NaN                      2.014089778116635E-14
9.100000000000001E-4     NaN                      8.277415238119616E-15
9.2E-4                   NaN                      5.0375340365982145E-15
9.3E-4                   NaN                      1.797652835076776E-15
9.400000000000001E-4     NaN                      -1.4422283664446653E-15
9.500000000000001E-4     NaN                      -4.682109567966104E-15
9.600000000000001E-4     NaN                      -7.921990769487546E-15
9.7E-4                   NaN                      -1.1161871971008946E-14
9.800000000000002E-4     NaN                      -1.4401753172530422E-14
9.9E-4                   NaN                      -1.764163437405179E-14
0.001                    NaN                      -2.088151557557323E-14
0.00101                  NaN                      -2.3028272408425876E-14
0.00102                  NaN                      -2.2323468666384475E-14
0.00103                  NaN                      -2.161866492434307E-14
0.0010400000000000001    NaN                      -2.0913861182301667E-14
0.0010500000000000002    NaN                      -2.0209057440260266E-14
0.0010600000000000002    NaN                      -1.9504253698218862E-14
0.00107                  NaN                      -1.8799449956177474E-14
0.00108                  NaN                      -1.809464621413607E-14
0.00109                  NaN                      -1.738984247209467E-14
0.0011                   NaN                      -1.6685038730053265E-14
0.00111                  NaN                      -1.5980234988011864E-14
0.0011200000000000001    NaN                      -1.5275431245970457E-14
0.0011300000000000001    NaN                      -1.4570627503929056E-14
0.0011400000000000002    NaN                      -1.3865823761887654E-14
0.0011500000000000002    NaN                      -1.316102001984625E-14
0.00116                  NaN                      -1.2456216277804863E-14
0.00117                  NaN                      -1.175141253576346E-14
0.00118                  NaN                      -1.1046608793722058E-14
0.00119                  NaN                      -1.0341805051680654E-14
0.0012000000000000001    NaN                      -9.63700130963925E-15
0.0012100000000000001    NaN                      -9.029987720073884E-15
0.0012200000000000002    NaN                      -8.678072773815787E-15
0.0012300000000000002    NaN                      -8.32615782755769E-15
0.00124                  NaN                      -7.974242881299602E-15
0.00125                  NaN                      -7.622327935041505E-15
0.00126                  NaN                      -7.270412988783408E-15
0.00127                  NaN                      -6.9184980425253105E-15
0.00128                  NaN                      -6.566583096267216E-15
0.0012900000000000001    NaN                      -6.214668150009118E-15
0.0013000000000000002    NaN                      -5.862753203751021E-15
0.0013100000000000002    NaN                      -5.510838257492925E-15
0.0013200000000000002    NaN                      -5.158923311234828E-15
0.00133                  NaN                      -4.80700836497674E-15
0.00134                  NaN                      -4.455093418718643E-15
0.00135                  NaN                      -4.103178472460545E-15
0.00136                  NaN                      -3.751263526202448E-15
0.0013700000000000001    NaN                      -3.3993485799443527E-15
0.0013800000000000002    NaN                      -3.047433633686256E-15
0.0013900000000000002    NaN                      -2.695518687428159E-15
0.0014000000000000002    NaN                      -2.3436037411700627E-15
0.00141                  NaN                      -2.0647738026080837E-15
0.00142                  NaN                      -1.9765958452253947E-15
0.00143                  NaN                      -1.8884178878427052E-15
0.00144                  NaN                      -1.8002399304600162E-15
0.0014500000000000001    NaN                      -1.7120619730773266E-15
0.0014600000000000001    NaN                      -1.6238840156946371E-15
0.0014700000000000002    NaN                      -1.5357060583119479E-15
0.0014800000000000002    NaN                      -1.4475281009292586E-15
0.0014900000000000002    NaN                      -1.3593501435465692E-15
0.0015                   NaN                      -1.2711721861638821E-15
0.00151                  NaN                      -1.1829942287811927E-15
0.00152                  NaN                      -1.0948162713985033E-15
0.0015300000000000001    NaN                      -1.006638314015814E-15
0.0015400000000000001    NaN                      -9.184603566331248E-16
0.0015500000000000002    NaN                      -8.302823992504354E-16
0.0015600000000000002    NaN                      -7.421044418677461E-16
0.0015700000000000002    NaN                      -6.539264844850567E-16
0.00158                  NaN                      -5.657485271023693E-16
0.00159                  NaN                      -4.775705697196801E-16
0.0016                   NaN                      -3.8939261233699074E-16
0.00161                  NaN                      -3.214723661284601E-16
0.0016200000000000001    NaN                      -3.063970588651424E-16
0.0016300000000000002    NaN                      -2.9132175160182467E-16
0.0016400000000000002    NaN                      -2.762464443385069E-16
0.0016500000000000002    NaN                      -2.6117113707518914E-16
0.0016600000000000002    NaN                      -2.4609582981187137E-16
0.00167                  NaN                      -2.31020522548554E-16
0.00168                  NaN                      -2.159452152852362E-16
0.00169                  NaN                      -2.0086990802191852E-16
0.0017000000000000001    NaN                      -1.8579460075860076E-16
0.0017100000000000001    NaN                      -1.7071929349528302E-16
0.0017200000000000002    NaN                      -1.5564398623196528E-16
0.0017300000000000002    NaN                      -1.4056867896864752E-16
0.0017400000000000002    NaN                      -1.254933717053298E-16
0.00175                  NaN                      -1.1041806444201235E-16
0.00176                  NaN                      -9.534275717869462E-17
0.00177                  NaN                      -8.026744991537687E-17
0.0017800000000000001    NaN                      -6.519214265205913E-17
0.0017900000000000001    NaN                      -5.011683538874138E-17
0.0018000000000000002    NaN                      -3.504152812542364E-17
0.0018100000000000002    NaN                      -2.373994244566863E-17
0.0018200000000000002    NaN                      -2.2282612366417705E-17
0.0018300000000000002    NaN                      -2.0825282287166776E-17
0.00184                  NaN                      -1.9367952207915883E-17
0.00185                  NaN                      -1.791062212866496E-17
0.00186                  NaN                      -1.6453292049414034E-17
0.0018700000000000001    NaN                      -1.4995961970163108E-17
0.0018800000000000002    NaN                      -1.3538631890912181E-17
0.0018900000000000002    NaN                      -1.2081301811661258E-17
0.0019000000000000002    NaN                      -1.062397173241033E-17
0.0019100000000000002    NaN                      -9.166641653159404E-18
0.0019200000000000003    NaN                      -7.709311573908478E-18
0.00193                  NaN                      -6.2519814946575845E-18
0.00194                  NaN                      -4.794651415406657E-18
0.0019500000000000001    NaN                      -3.3373213361557322E-18
0.0019600000000000004    NaN                      -1.8799912569047736E-18
0.00197                  NaN                      -4.226611776539106E-19
0.00198                  NaN                      1.0346689015970154E-18
0.00199                  NaN                      2.4919989808479414E-18
0.002                    NaN                      3.949329060098867E-18
