# overetch,offset,thickness,sensitivity 
0.208814,-0.148555,30.331106,0.004404
0.173408,0.162811,29.305704,0.004442
0.481699,0.025465,29.728266,0.004349
0.435245,-0.104219,29.116398,0.004561
0.495744,-0.388657,30.960241,0.004416
0.401703,-0.289728,29.480193,0.004695
0.303531,-0.064509,29.835227,0.004373
0.106230,-0.247410,30.207038,0.004434
0.347965,-0.162494,29.165080,0.004631
0.467534,0.341552,30.636067,0.004426
0.424747,0.483164,30.592088,0.004566
0.196241,-0.186305,29.261229,0.004429
0.117715,0.278383,29.788965,0.004421
0.218309,0.348300,29.956180,0.004325
0.241386,0.226499,29.265141,0.004361
0.282942,0.315438,29.628848,0.004487
0.200155,0.142020,30.942756,0.004590
0.399355,-0.384944,30.905480,0.004547
0.189838,-0.181285,29.024096,0.004413
0.212633,0.077035,29.847506,0.004458
0.343197,-0.062229,30.819351,0.004458
0.314340,-0.211500,29.021687,0.004408
0.159667,0.043004,29.184602,0.004402
0.430522,-0.043836,30.476977,0.004413
0.325227,-0.353139,30.119854,0.004490
0.102207,0.078893,29.499822,0.004537
0.141642,-0.362125,30.146243,0.004441
0.362695,0.262140,29.508242,0.004282
0.482728,0.409507,29.529136,0.004553
0.288943,-0.450928,29.217032,0.004631
0.327191,-0.039263,30.703402,0.004449
0.213372,0.286607,29.279879,0.004369
0.234876,-0.013637,30.877373,0.004552
0.265524,0.099311,29.660483,0.004507
0.381180,-0.424820,29.708640,0.004526
0.447660,-0.223325,30.998777,0.004508
0.256059,-0.302112,29.544321,0.004338
0.319445,-0.170540,29.292322,0.004381
0.301234,0.469881,30.357805,0.004334
0.233978,0.248909,30.421113,0.004352
0.231996,-0.387520,29.749487,0.004501
0.333009,0.370036,30.285852,0.004369
0.449356,-0.032486,30.653518,0.004402
0.195506,-0.439836,30.937294,0.004506
0.350299,-0.023604,30.097006,0.004412
0.137452,0.122752,29.850199,0.004418
0.299709,0.328297,29.689577,0.004493
0.277999,0.053622,30.113486,0.004778
0.402911,0.331986,30.383153,0.004403
0.227443,-0.254978,30.990930,0.004485
0.297015,0.312523,30.772159,0.004401
0.404389,-0.484232,30.708926,0.004653
0.366855,0.375060,30.676780,0.004446
0.235690,0.427911,30.415159,0.004481
0.154846,0.484080,29.587114,0.004509
0.470319,0.111807,30.536386,0.004463
0.432693,0.004851,29.904238,0.004407
0.474036,-0.466331,30.385789,0.004349
0.359343,0.093089,30.692709,0.004511
0.354822,0.040861,30.084315,0.005713
0.349550,0.336430,30.705031,0.004360
0.100797,0.038113,29.879713,0.004567
0.341370,-0.158041,30.838542,0.004538
0.248117,0.016359,30.263215,0.004422
0.137932,0.055186,30.028935,0.004521
0.441792,-0.097920,29.659211,0.004449
0.413873,0.072678,29.417672,0.004554
0.458005,0.368466,30.216748,0.004474
