# overetch,offset,thickness,sensitivity 
0.263652,0.128128,30.168575,0.004485
0.311964,0.189748,29.740368,0.004564
0.311911,-0.045994,30.064447,0.004439
0.254221,-0.106476,30.483916,0.004476
0.279659,-0.108913,29.955239,0.004418
0.226351,0.031859,30.135136,0.004389
0.305813,-0.107952,30.114784,0.004471
0.318790,-0.148746,30.187722,0.004542
0.225067,-0.035319,29.866498,0.004346
0.343766,0.159096,30.524637,0.004692
0.329115,0.000540,29.541660,0.004393
0.306361,-0.080406,30.246963,0.004471
0.282660,0.000057,29.967515,0.004381
0.220379,0.065028,30.198572,0.004420
0.331850,-0.024840,30.357430,0.004516
0.308197,-0.279512,29.791262,0.004703
0.370676,0.199656,29.995369,0.004748
0.371949,-0.160785,29.483328,0.004575
0.323528,0.068185,29.992370,0.004473
0.278499,-0.107455,29.974213,0.004418
0.226369,-0.190775,30.222925,0.004564
0.243913,-0.003741,30.144372,0.004381
0.340421,0.219164,29.968967,0.004704
0.361677,-0.069495,29.331214,0.004453
0.305849,-0.011169,30.041069,0.004421
0.379852,0.049744,29.953372,0.004606
0.297602,0.189594,29.979786,0.004582
0.203247,0.038288,29.990792,0.004383
0.300233,0.043389,29.776935,0.004388
0.282343,-0.095391,29.668010,0.004368
0.309802,-0.151666,30.027543,0.004508
0.349149,-0.105891,29.671436,0.004490
0.259921,-0.103218,30.179479,0.004432
0.338777,-0.227062,30.329237,0.004717
0.349803,0.017892,30.049678,0.004518
0.264259,-0.094379,30.413739,0.004460
0.279747,0.172145,30.060538,0.004546
0.329253,0.071112,29.692725,0.004443
0.272585,-0.021904,30.310637,0.004420
0.273283,-0.012669,30.259878,0.004413
0.321795,-0.043228,29.870709,0.004428
0.251449,0.207364,30.165214,0.004624
0.345679,0.179973,29.703335,0.004605
0.266159,-0.001523,29.933793,0.004361
0.277124,0.130967,30.290245,0.004515
0.227427,0.005500,30.278903,0.004401
0.322660,0.118651,29.788861,0.004487
0.391583,0.225955,30.072424,0.004874
0.325918,0.021580,29.927341,0.004446
0.210159,0.146251,30.230888,0.004534
0.303288,-0.015801,30.336647,0.004459
0.231136,-0.161330,29.891124,0.004461
0.299206,-0.187990,29.945589,0.004533
0.284803,-0.237773,30.207029,0.004652
0.236463,-0.031823,29.810510,0.004335
0.340990,-0.089665,30.135163,0.004528
0.335140,-0.093074,30.175063,0.004522
0.316196,-0.133880,29.980481,0.004492
0.362253,-0.106371,30.196907,0.004603
0.190530,-0.066796,30.240387,0.004436
0.355603,0.036846,29.735481,0.004494
0.255513,-0.063859,30.046740,0.004384
0.313592,0.141846,29.965010,0.004525
0.252560,0.050754,29.847109,0.004360
0.332310,-0.052694,30.174560,0.004496
0.262126,-0.099640,30.230495,0.004437
0.287383,0.120056,30.268398,0.004507
0.290434,-0.060809,29.960450,0.004398
0.297282,-0.050359,29.877418,0.004391
0.207008,0.074086,30.205680,0.004437
0.216751,-0.132518,30.039878,0.004449
0.360559,-0.004745,30.164550,0.004561
0.268768,0.035157,30.218418,0.004413
0.313865,0.169289,30.167216,0.004596
0.298342,0.096958,29.797772,0.004427
0.322676,0.002189,30.080528,0.004458
0.254239,-0.062259,30.126210,0.004394
0.282111,-0.151846,29.914248,0.004460
0.372466,-0.208683,29.890356,0.004702
0.336404,-0.048851,29.804791,0.004451
0.349180,0.030377,30.095970,0.004527
0.324336,-0.095114,29.561775,0.004413
0.338212,-0.197396,30.097306,0.004631
0.337774,-0.109660,29.931117,0.004505
0.277206,0.049569,30.056106,0.004404
0.304190,-0.105654,29.948915,0.004442
0.284583,0.049519,29.616500,0.004349
0.246683,0.174409,30.198280,0.004561
0.261593,-0.086732,30.153151,0.004416
0.331174,0.218464,30.038890,0.004695
0.263881,0.004584,30.020185,0.004373
0.298110,-0.042451,30.188090,0.004434
0.278907,0.211635,30.112974,0.004631
0.318540,-0.057131,29.865401,0.004426
0.268998,0.206517,29.783031,0.004566
0.261877,-0.093580,30.206720,0.004429
0.313806,0.043973,29.856271,0.004421
0.297813,0.000671,29.443862,0.004325
0.235307,-0.055265,29.937494,0.004361
0.352381,-0.042257,29.795499,0.004487
0.290626,-0.207541,30.162190,0.004590
0.322884,-0.131788,30.297588,0.004547
0.273911,-0.024656,30.252521,0.004413
0.288359,0.081132,30.194048,0.004458
0.296538,-0.128314,29.984263,0.004458
0.284129,0.080482,29.881715,0.004408
0.314309,0.009760,29.797008,0.004402
0.301799,-0.040431,30.007636,0.004413
0.327273,-0.073401,30.148293,0.004490
0.344407,0.118558,29.813190,0.004537
0.290056,-0.077795,30.202195,0.004441
0.272511,0.048885,29.229949,0.004282
0.365810,-0.075814,29.907517,0.004553
0.366913,-0.152179,30.018615,0.004631
0.156285,0.008334,30.090796,0.004449
0.302153,-0.037867,29.697132,0.004369
0.278655,-0.203203,30.013635,0.004552
0.330376,-0.040176,30.300788,0.004507
0.314514,0.153133,29.853366,0.004526
0.180035,0.065041,30.552874,0.004508
0.238860,0.025634,29.800018,0.004338
0.321931,-0.065601,29.487355,0.004381
0.209402,-0.052911,29.695291,0.004334
0.289449,0.062351,29.544711,0.004352
0.314637,0.123987,29.943637,0.004501
0.266092,0.027390,29.943354,0.004369
0.280496,-0.033193,30.127189,0.004402
0.260889,0.156454,30.029080,0.004506
0.315555,-0.105094,29.619821,0.004412
0.340987,-0.046111,29.513549,0.004418
0.287658,0.107842,30.269436,0.004493
0.379785,0.188063,30.134556,0.004778
0.269747,-0.016683,30.211441,0.004403
0.320394,0.002328,30.301531,0.004485
0.238498,0.000482,30.283185,0.004401
